rank,gid,role,priority_score,why
11,100000000437046100,distributor,0.915567,"Признаки распределения: 42 получателей; выход 7,606,224.00 KZT; отправителей 9. Приоритет: поток=1.00; структура=0.95; seed-связи=0.66; сила роли=0.98."
12,100000005074393100,consolidator,0.906859,"Признаки сбора: 4 отправителей; вход 563,026.00 KZT; получателей 6. Приоритет: поток=0.94; структура=0.88; seed-связи=0.85; сила роли=0.94."
13,100000002957787100,coordinator,0.898498,Структурный посредник: betweenness=0.004277; внешних кластеров 8; достижим от 4 seed. Приоритет: поток=0.95; структура=0.95; seed-связи=0.66; сила роли=0.98.
14,100000001530983100,distributor,0.898472,"Признаки распределения: 11 получателей; выход 1,829,538.00 KZT; отправителей 4. Приоритет: поток=0.98; структура=0.80; seed-связи=0.85; сила роли=0.95."
15,100000008637537100,consolidator,0.897495,"Признаки сбора: 3 отправителей; вход 619,890.00 KZT; получателей 3. Seed: входящие неполны. Приоритет: поток=0.98; структура=0.78; seed-связи=0.86; сила роли=0.94."
16,100000008710791100,distributor,0.897194,"Признаки распределения: 23 получателей; выход 5,521,511.00 KZT; отправителей 3. Приоритет: поток=1.00; структура=0.77; seed-связи=0.80; сила роли=0.98."
17,100000007442518100,distributor,0.893492,"Признаки распределения: 9 получателей; выход 4,419,999.00 KZT; отправителей 5. Приоритет: поток=0.99; структура=0.87; seed-связи=0.71; сила роли=0.94."
18,100000008477350100,distributor,0.886618,"Признаки распределения: 39 получателей; выход 3,374,866.00 KZT; отправителей 11. Приоритет: поток=0.99; структура=0.97; seed-связи=0.52; сила роли=0.98."
19,100000007908818100,consolidator,0.884119,"Признаки сбора: 4 отправителей; вход 727,475.00 KZT; получателей 6. Приоритет: поток=0.93; структура=0.80; seed-связи=0.85; сила роли=0.94."
20,100000001616816100,consolidator,0.882627,"Признаки сбора: 5 отправителей; вход 176,195.00 KZT; получателей 3. Seed: входящие неполны. Приоритет: поток=0.81; структура=0.83; seed-связи=1.00; сила роли=0.93."
21,100000008743913100,distributor,0.882034,"Признаки распределения: 13 получателей; выход 1,850,600.00 KZT; отправителей 3. Приоритет: поток=0.97; структура=0.77; seed-связи=0.80; сила роли=0.96."
22,100000005382566100,consolidator,0.881062,"Признаки сбора: 7 отправителей; вход 393,066.00 KZT; получателей 1. Seed: входящие неполны. Приоритет: поток=0.84; структура=0.75; seed-связи=1.00; сила роли=0.97."
23,100000003635170100,consolidator,0.878571,"Признаки сбора: 3 отправителей; вход 268,500.00 KZT; получателей 4. Приоритет: поток=0.87; структура=0.88; seed-связи=0.85; сила роли=0.91."
24,100000005910114100,distributor,0.874683,"Признаки распределения: 19 получателей; выход 1,469,993.00 KZT; отправителей 3. Приоритет: поток=0.96; структура=0.87; seed-связи=0.63; сила роли=0.96."
25,100000001857829100,coordinator,0.8737,Структурный посредник: betweenness=0.00196; внешних кластеров 6; достижим от 3 seed. Приоритет: поток=0.99; структура=0.93; seed-связи=0.52; сила роли=0.96.
26,100000008489922100,distributor,0.86948,"Признаки распределения: 36 получателей; выход 3,789,900.00 KZT; отправителей 3. Приоритет: поток=0.99; структура=0.91; seed-связи=0.49; сила роли=0.99."
27,100000008512827100,distributor,0.869423,"Признаки распределения: 10 получателей; выход 1,944,500.00 KZT; отправителей 3. Приоритет: поток=0.97; структура=0.72; seed-связи=0.80; сила роли=0.95."
28,100000008686313100,consolidator,0.866894,"Признаки сбора: 6 отправителей; вход 1,912,716.00 KZT; получателей 7. Приоритет: поток=0.97; структура=0.89; seed-связи=0.57; сила роли=0.95."
29,100000003701161100,consolidator,0.865528,"Признаки сбора: 4 отправителей; вход 1,527,103.00 KZT; получателей 3. Приоритет: поток=0.97; структура=0.89; seed-связи=0.57; сила роли=0.96."
30,100000008547948100,distributor,0.863189,"Признаки распределения: 26 получателей; выход 5,185,600.00 KZT; отправителей 6. Приоритет: поток=1.00; структура=0.87; seed-связи=0.52; сила роли=0.98."
31,100000005933757100,distributor,0.862374,"Признаки распределения: 34 получателей; выход 3,002,628.00 KZT; отправителей 4. Приоритет: поток=0.99; структура=0.98; seed-связи=0.38; сила роли=0.98."
32,100000004015047100,consolidator,0.859639,"Признаки сбора: 9 отправителей; вход 919,104.00 KZT; получателей 1. Приоритет: поток=0.92; структура=0.66; seed-связи=0.85; сила роли=0.99."
33,100000003242289100,distributor,0.859098,"Признаки распределения: 23 получателей; выход 2,377,741.00 KZT; отправителей 3. Приоритет: поток=0.98; структура=0.87; seed-связи=0.52; сила роли=0.97."
34,100000001899164100,consolidator,0.858052,"Признаки сбора: 4 отправителей; вход 291,675.00 KZT; получателей 3. Приоритет: поток=0.81; структура=0.85; seed-связи=0.85; сила роли=0.94."
35,100000006889963100,consolidator,0.848865,"Признаки сбора: 4 отправителей; вход 1,431,000.00 KZT; получателей 1. Приоритет: поток=0.97; структура=0.58; seed-связи=0.85; сила роли=0.97."
36,100000008547844100,distributor,0.846932,"Признаки распределения: 19 получателей; выход 2,042,199.00 KZT; отправителей 3. Приоритет: поток=0.97; структура=0.83; seed-связи=0.52; сила роли=0.97."
37,100000004403675100,coordinator,0.846665,Структурный посредник: betweenness=0.002788; внешних кластеров 4; достижим от 3 seed. Приоритет: поток=0.84; структура=0.96; seed-связи=0.57; сила роли=0.96.
38,100000004351795100,distributor,0.843628,"Признаки распределения: 14 получателей; выход 1,715,161.00 KZT; отправителей 3. Приоритет: поток=0.96; структура=0.80; seed-связи=0.57; сила роли=0.96."
39,100000004400305100,distributor,0.841816,"Признаки распределения: 82 получателей; выход 5,830,181.00 KZT; отправителей 7. Приоритет: поток=1.00; структура=0.88; seed-связи=0.38; сила роли=0.99."
40,100000005514161100,consolidator,0.841525,"Признаки сбора: 4 отправителей; вход 401,500.00 KZT; получателей 1. Приоритет: поток=0.84; структура=0.71; seed-связи=0.85; сила роли=0.96."
41,100000000661912100,consolidator,0.838525,"Признаки сбора: 5 отправителей; вход 393,036.00 KZT; получателей 2. Приоритет: поток=0.91; структура=0.96; seed-связи=0.43; сила роли=0.96."
42,100000005782781100,coordinator,0.836984,Структурный посредник: betweenness=0.0005683; внешних кластеров 5; достижим от 3 seed. Приоритет: поток=0.95; структура=0.86; seed-связи=0.52; сила роли=0.94.
43,100000002741024100,consolidator,0.835629,"Признаки сбора: 5 отправителей; вход 817,980.85 KZT; получателей 6. Приоритет: поток=0.94; структура=0.85; seed-связи=0.52; сила роли=0.95."
44,100000005704413100,distributor,0.83549,"Признаки распределения: 32 получателей; выход 1,363,593.00 KZT; отправителей 3. Приоритет: поток=0.95; структура=0.94; seed-связи=0.35; сила роли=0.97."
45,100000004759121100,consolidator,0.835126,"Признаки сбора: 6 отправителей; вход 710,000.00 KZT; получателей 2. Приоритет: поток=0.93; структура=0.80; seed-связи=0.57; сила роли=0.97."
46,100000006579678100,distributor,0.832266,"Признаки распределения: 6 получателей; выход 1,668,800.00 KZT; отправителей 2. Приоритет: поток=0.97; структура=0.90; seed-связи=0.43; сила роли=0.93."
47,100000005527892100,distributor,0.831973,"Признаки распределения: 8 получателей; выход 552,419.00 KZT; отправителей 3. Приоритет: поток=0.90; структура=0.75; seed-связи=0.71; сила роли=0.92."
48,100000008730846100,consolidator,0.828991,"Признаки сбора: 7 отправителей; вход 155,042.00 KZT; получателей 3. Приоритет: поток=0.87; структура=0.81; seed-связи=0.66; сила роли=0.94."
49,100000008461532100,distributor,0.828704,"Признаки распределения: 8 получателей; выход 2,530,090.00 KZT; отправителей 2. Приоритет: поток=0.98; структура=0.88; seed-связи=0.38; сила роли=0.95."
50,100000008748914100,distributor,0.826935,"Признаки распределения: 13 получателей; выход 4,471,847.00 KZT; отправителей 2. Приоритет: поток=0.99; структура=0.92; seed-связи=0.29; сила роли=0.97."
